PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
Hwy3 2005,3Hwy144,Cold Too,"10445, 10585",S,580613,5439494,Hwy3 2005,x,2005
Hwy3 2005,3Hwy111,Crackerja,"10482, 10536, 10601",N,547352,5450942,Hwy3 2005,x,2005
Hwy3 2005,3Hwy141,Cristophe,"10425, 10459, 10511",N,566708,5439986,Hwy3 2005,x,2005
Hwy3 2005,3Hwy108,Duck/Grad,"10492, 10529, 10557",N,534331,5452943,Hwy3 2005,x,2005
Hwy3 2005,3Hwy149,Elmira,"10415, 10473, 10513",S,562992,5434428,Hwy3 2005,x,2005
Hwy3 2005,3Hwy131,Englishman,,N,567103,5442832,Hwy3 2005,x,2005
Hwy3 2005,3Hwy120,Grizzly B,10448,N,558336,5447225,Hwy3 2005,x,2005
Hwy3 2005,3Hwy103,Hall High,"10430, 10533, 10362",N,541735,5456471,Hwy3 2005,x,2005
Hwy3 2005,3Hwy129,Hazel's N,"10449, 10478, 10570",N,559760,5443744,Hwy3 2005,x,2005
Hwy3 2005,3Hwy121,Huckleber,"10480, 10520, 10568",N,562040,5445764,Hwy3 2005,x,2005
Hwy3 2005,3Hwy123,Irishman,"10439, 10457, 10509",N,571529,5449120,Hwy3 2005,x,2005
Hwy3 2005,3Hwy110,Iron Range,"10408, 10488, 10535, 10564",N,543434,5452320,Hwy3 2005,x,2005
Hwy3 2005,3Hwy140,Jensen,"10424, 10458, 10510",N,563541,5439242,Hwy3 2005,x,2005
Hwy3 2005,3Hwy114,Kidd Conf,10486,N,561636,5451410,Hwy3 2005,x,2005
Hwy3 2005,3Hwy115,Kidd Cr.,10602,N,567430,5454719,Hwy3 2005,x,2005
Hwy3 2005,3Hwy113,Kidd West Trail,"10404, 10605, 101487",N,558941,5453979,Hwy3 2005,x,2005
Hwy3 2005,3Hwy130,Kristina/,"10477, 10523, 10571",N,562329,5442062,Hwy3 2005,x,2005
Hwy3 2005,3Hwy105,Leadville,"10559, 10494, 10530",N,554834,5458845,Hwy3 2005,x,2005
Hwy3 2005,3Hwy146,Little Moyie powerline,"10431, 10504, 10517, 10598",S,549211,5433343,Hwy3 2005,x,2005
Hwy3 2005,3Hwy119,Lost Cree,"1050, 10555, 10606",N,551777,5449299,Hwy3 2005,x,2005
Hwy3 2005,3Hwy142,Mahon Cr.,10432,S,572596,5437325,Hwy3 2005,x,2005
Hwy3 2005,3Hwy135,Malpas,"10442, 10455, 10507, 10581",S,586467,5441733,Hwy3 2005,x,2005
Hwy3 2005,3Hwy132,Manson We,"10590, 10437, 10464, 10540",S,573845,5441682,Hwy3 2005,x,2005
Hwy3 2005,3Hwy147,Mission C,"10412, 10503",S,550812,5432924,Hwy3 2005,x,2005
Hwy3 2005,3Hwy104,Mt. Cowley,"10428, 10496, 10532, 10561",N,549660,5456502,Hwy3 2005,x,2005
Hwy3 2005,3Hwy106,Obrian Ck,"10560, 10495, 010531",N,556041,5457373,Hwy3 2005,x,2005
Hwy3 2005,3Hwy152,Otto,"10471, 10542, 10592",S,577903,5430988,Hwy3 2005,x,2005
Hwy3 2005,3Hwy112,Peterson,"10438, 10499",N,552616,5450671,Hwy3 2005,x,2005
Hwy3 2005,3Hwy127,Russel Ce,"10417, 10572, 10461",S,549601,5441935,Hwy3 2005,x,2005
Hwy3 2005,3Hwy137,Russel Cr,10418,S,547784,5438987,Hwy3 2005,x,2005
Hwy3 2005,3Hwy117,Six Mile High,"10537, 10599",N,544902,5447215,Hwy3 2005,x,2005
Hwy3 2005,3Hwy118,Six Mile Low,"10476, 10538",N,545392,5448804,Hwy3 2005,x,2005
Hwy3 2005,3Hwy133,Snow 10.5,"10470, 10584",S,577141,5442319,Hwy3 2005,x,2005
