PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
S Selkirk 2005,SS,Sacred Wallow,10861,,508527,5456028,SS2005,Next,2005
S Selkirk 2005,SS,Next Cr.,10862,,510148,5457075,SS2005,Next,2005
S Selkirk 2005,SS,,10867,,,,SS2005,Kootenay Lake,2005
S Selkirk 2005,SS,Moose Bones,10875,,483339,5453107,SS2005,Hidden,2005
S Selkirk 2005,SS,Hidden Riparian,10874,,488118,5451444,SS2005,Hidden,2005
S Selkirk 2005,SS,Upper Hidden,10873,,494176,5450382,SS2005,Hidden,2005
S Selkirk 2005,SS,Leather Leafed Saxifrage,10860,,498560,5451300,SS2005,Elmo,2005
S Selkirk 2005,SS,Forget about x-ing the creek,10859,,503109,5452989,SS2005,Elmo,2005
S Selkirk 2005,SS,W. Antler Rd.,10863,,507900,5453396,SS2005,Jersey,2005
S Selkirk 2005,SS,Chickadee,10897,,513384,5451880,SS2005,Shaw,2005
S Selkirk 2005,SS,Moose Trail,10896,,517545,5451739,SS2005,Shaw,2005
S Selkirk 2005,SS,Vultures,10895,,521894,5451548,SS2005,Kootenay Lake,2005
S Selkirk 2005,SS,Moose Hill,10881,,484910,5445961,SS2005,Sheep,2005
S Selkirk 2005,SS,Reward Walk,10882,,486317,5446848,SS2005,Sheep,2005
S Selkirk 2005,SS,Creek x-ing,10885,,493982,5447627,SS2005,Sheep,2005
S Selkirk 2005,SS,Paradise,10886,,496356,5448700,SS2005,,2005
S Selkirk 2005,SS,See you on the other side of the creek,10866,,501281,5447648,SS2005,Elmo,2005
S Selkirk 2005,SS,Blazed Cr.,10865,,506719,5447116,SS2005,Blazed,2005
S Selkirk 2005,SS,S. Jersey Pass,10864,,510039,5447942,SS2005,Jersey,2005
S Selkirk 2005,SS,Scarlet Tree,10893,,516674,5445819,SS2005,Topaz,2005
S Selkirk 2005,SS,Stay High,10894,,524284,5447572,SS2005,Kootenay Lake,2005
S Selkirk 2005,SS,Creston Slough,10892,,526163,5447163,SS2005,Kootenay Lake,2005
S Selkirk 2005,SS,Dump site,10880,,483300,5442885,SS2005,Sheep,2005
S Selkirk 2005,SS,Steep Slope,10883,,489450,5444014,SS2005,Sheep,2005
S Selkirk 2005,SS,Stone Mason,10884,,494100,5441217,SS2005,Sheep,2005
S Selkirk 2005,SS,Carolina,10888,,499553,5441197,SS2005,Carolina,2005
S Selkirk 2005,SS,Bayonne,10889,,501724,5442374,SS2005,Bayonne,2005
S Selkirk 2005,SS,Placer Lake,10890,,507534,5442455,SS2005,Placer,2005
S Selkirk 2005,SS,Old Growth Riparian,10891,,511650,5444100,SS2005,Blazed,2005
S Selkirk 2005,SS,Alberta,10876,,482881,5436717,SS2005,Lost,2005
S Selkirk 2005,SS,Proctor,10877,,486799,5437797,SS2005,Lost,2005
S Selkirk 2005,SS,Happy-tat,10878,,493000,5437517,SS2005,Lost,2005
S Selkirk 2005,SS,Lost Creek,10879,,495636,5436790,SS2005,Lost,2005
S Selkirk 2005,SS,Park Here Stef!,10887,,487248,5430274,SS2005,,2005
SP 1998,SP1,U Crawford Cr,,,522600,5514900,SP98,x,1998
