#Detector,X,Y,Usage,Trap_Type
1770697_678455_BS,1770697,678455,01100,/ BS
1774663_672676_RT,1774663,672676,10011,/ RT
1774876_646894_RT,1774876,646894,10010,/ RT
1775282_664355_BS,1775282,664355,01100,/ BS
1775348_645866_RT,1775348,645866,10010,/ RT
1775545_645607_RT,1775545,645607,10010,/ RT
1775945_644529_BS,1775945,644529,01100,/ BS
1776076_644601_RT,1776076,644601,11110,/ RT
1776328_644506_RT,1776328,644506,11110,/ RT
1776647_644490_RT,1776647,644490,00011,/ RT
1776819_644496_RT,1776819,644496,11000,/ RT
1777662_670512_RT,1777662,670512,11111,/ RT
1778115_664353_RT,1778115,664353,01111,/ RT
1778499_664522_RT,1778499,664522,01111,/ RT
1778878_644671_RT,1778878,644671,11110,/ RT
1778957_644667_RT,1778957,644667,11110,/ RT
1779063_644689_RT,1779063,644689,11100,/ RT
1779296_664583_RT,1779296,664583,01110,/ RT
1779903_637307_RT,1779903,637307,10110,/ RT
1780438_637387_RT,1780438,637387,10110,/ RT
1780476_644574_RT,1780476,644574,11110,/ RT
1780864_666322_RT,1780864,666322,10111,/ RT
1781005_637342_RT,1781005,637342,10111,/ RT
1781075_666160_BS,1781075,666160,01100,/ BS
1781311_637277_RT,1781311,637277,10111,/ RT
1781355_665527_RT,1781355,665527,11011,/ RT
1782010_644159_RT,1782010,644159,11110,/ RT
1782366_560384_RT,1782366,560384,00110,/ RT
1782373_642090_BS,1782373,642090,01100,/ BS
1782453_560608_RT,1782453,560608,00110,/ RT
1782607_663426_RT,1782607,663426,10111,/ RT
1782953_561357_RT,1782953,561357,00111,/ RT
1783023_647242_RT,1783023,647242,11110,/ RT
1783153_557692_BS,1783153,557692,01100,/ BS
1783173_658347_BS,1783173,658347,01100,/ BS
1783250_661861_RT,1783250,661861,10011,/ RT
1783326_561606_RT,1783326,561606,00111,/ RT
1783407_567201_RT,1783407,567201,00111,/ RT
1783583_563026_RT,1783583,563026,00111,/ RT
1783594_562682_RT,1783594,562682,00011,/ RT
1783619_562296_RT,1783619,562296,00111,/ RT
1783672_568960_RT,1783672,568960,00111,/ RT
1783775_570935_RT,1783775,570935,00011,/ RT
1783794_570442_RT,1783794,570442,00111,/ RT
1783802_569252_RT,1783802,569252,00111,/ RT
1783810_565696_RT,1783810,565696,00011,/ RT
1783823_563427_RT,1783823,563427,00011,/ RT
1783824_565661_RT,1783824,565661,00111,/ RT
1783828_565553_RT,1783828,565553,00111,/ RT
1783830_565643_RT,1783830,565643,00111,/ RT
1783843_565432_RT,1783843,565432,00111,/ RT
1783846_566259_RT,1783846,566259,00111,/ RT
1783847_570799_RT,1783847,570799,00111,/ RT
1783853_566879_RT,1783853,566879,00011,/ RT
1783891_565205_RT,1783891,565205,00110,/ RT
1783910_564954_RT,1783910,564954,00111,/ RT
1784014_624171_RT,1784014,624171,00001,/ RT
1784039_564763_RT,1784039,564763,00111,/ RT
1784127_563671_RT,1784127,563671,00111,/ RT
1784305_564090_RT,1784305,564090,00111,/ RT
1784344_563823_RT,1784344,563823,00111,/ RT
1784392_563827_RT,1784392,563827,00111,/ RT
1784409_653689_RT,1784409,653689,10111,/ RT
1784462_645513_RT,1784462,645513,10110,/ RT
1784541_659180_RT,1784541,659180,10111,/ RT
1784609_608887_BS,1784609,608887,01100,/ BS
1784610_653306_RT,1784610,653306,10111,/ RT
1784628_653270_RT,1784628,653270,10111,/ RT
1784711_571160_RT,1784711,571160,00111,/ RT
1784717_639223_RT,1784717,639223,10111,/ RT
1785124_571361_RT,1785124,571361,00111,/ RT
1785202_623427_RT,1785202,623427,00111,/ RT
1785264_609179_RT,1785264,609179,10111,/ RT
1785296_643184_RT,1785296,643184,10111,/ RT
1785362_657781_RT,1785362,657781,10111,/ RT
1785427_595532_RT,1785427,595532,10000,/ RT
1785573_557927_RT,1785573,557927,11100,/ RT
1785792_595796_RT,1785792,595796,10000,/ RT
1786057_655478_RT,1786057,655478,10100,/ RT
1786379_633772_RT,1786379,633772,10111,/ RT
1786388_646832_RT,1786388,646832,10111,/ RT
1786619_652955_RT,1786619,652955,10111,/ RT
1786747_596065_RT,1786747,596065,10000,/ RT
1786751_633149_RT,1786751,633149,10111,/ RT
1786849_626460_BS,1786849,626460,01100,/ BS
1786935_651703_RT,1786935,651703,10111,/ RT
1787049_610388_RT,1787049,610388,10111,/ RT
1787209_610412_RT,1787209,610412,10111,/ RT
1787282_622846_RT,1787282,622846,00111,/ RT
1787364_632132_RT,1787364,632132,10111,/ RT
1787409_622732_RT,1787409,622732,00111,/ RT
1787859_598884_BS,1787859,598884,01100,/ BS
1787941_622442_RT,1787941,622442,00111,/ RT
1788148_603580_RT,1788148,603580,10110,/ RT
1788196_610844_RT,1788196,610844,10111,/ RT
1788397_630450_RT,1788397,630450,10111,/ RT
1788670_603406_RT,1788670,603406,00110,/ RT
1789019_627837_RT,1789019,627837,10111,/ RT
1789084_629136_RT,1789084,629136,10111,/ RT
1789161_610660_RT,1789161,610660,10111,/ RT
1789218_603332_RT,1789218,603332,10110,/ RT
1789360_595777_RT,1789360,595777,10111,/ RT
1789570_562124_RT,1789570,562124,00100,/ RT
1789720_603166_RT,1789720,603166,10000,/ RT
1789733_603117_RT,1789733,603117,10110,/ RT
1789940_594591_RT,1789940,594591,10111,/ RT
1790047_624731_RT,1790047,624731,10111,/ RT
1790189_602996_RT,1790189,602996,10110,/ RT
1790317_592874_RT,1790317,592874,10111,/ RT
1790476_592417_RT,1790476,592417,10111,/ RT
1790525_569438_BS,1790525,569438,01100,/ BS
1790567_592183_RT,1790567,592183,10111,/ RT
1790584_608124_RT,1790584,608124,10111,/ RT
1790632_592077_RT,1790632,592077,10111,/ RT
1790674_607926_RT,1790674,607926,10111,/ RT
1791294_591554_RT,1791294,591554,10111,/ RT
1791430_646809_BS,1791430,646809,01100,/ BS
1792030_605704_RT,1792030,605704,01110,/ RT
1792267_605059_RT,1792267,605059,01110,/ RT
1792301_590712_RT,1792301,590712,10111,/ RT
1792455_604814_RT,1792455,604814,01110,/ RT
1792669_590604_RT,1792669,590604,10111,/ RT
1793046_632516_BS,1793046,632516,01100,/ BS
1793086_597838_BS,1793086,597838,01100,/ BS
1793368_561228_RT,1793368,561228,10111,/ RT
1793504_561389_RT,1793504,561389,10111,/ RT
1793619_590503_RT,1793619,590503,10110,/ RT
1793666_604237_RT,1793666,604237,01110,/ RT
1793771_590493_RT,1793771,590493,10111,/ RT
1793796_590493_RT,1793796,590493,10111,/ RT
1794069_583411_BS,1794069,583411,01100,/ BS
1794283_564824_BS,1794283,564824,01100,/ BS
1794592_546943_BS,1794592,546943,01100,/ BS
1796780_629159_RT,1796780,629159,11010,/ RT
1796957_629732_RT,1796957,629732,11011,/ RT
1797527_610577_BS,1797527,610577,01100,/ BS
1797629_630693_RT,1797629,630693,11010,/ RT
1797918_631259_RT,1797918,631259,00001,/ RT
1798055_632395_RT,1798055,632395,00001,/ RT
1798485_584902_RT,1798485,584902,01011,/ RT
1798498_584079_RT,1798498,584079,01011,/ RT
1798660_582578_RT,1798660,582578,01011,/ RT
1798750_624234_RT,1798750,624234,11111,/ RT
1798758_581851_RT,1798758,581851,01011,/ RT
1798970_586196_RT,1798970,586196,01011,/ RT
1799282_586519_RT,1799282,586519,01011,/ RT
1799420_634016_RT,1799420,634016,00001,/ RT
1799949_623550_RT,1799949,623550,01111,/ RT
1801014_525627_RT,1801014,525627,11000,/ RT
1801051_625330_BS,1801051,625330,01100,/ BS
1801227_628737_RT,1801227,628737,11111,/ RT
1802218_555212_BS,1802218,555212,01100,/ BS
1802608_561603_RT,1802608,561603,11111,/ RT
1802699_575100_BS,1802699,575100,01100,/ BS
1802815_574732_RT,1802815,574732,11000,/ RT
1803318_596805_RT,1803318,596805,10011,/ RT
1803371_621692_RT,1803371,621692,11011,/ RT
1803534_574439_RT,1803534,574439,11100,/ RT
1803640_621272_RT,1803640,621272,10011,/ RT
1803643_596075_RT,1803643,596075,10011,/ RT
1803794_523733_RT,1803794,523733,10111,/ RT
1804013_600651_RT,1804013,600651,11101,/ RT
1804091_574248_RT,1804091,574248,11100,/ RT
1804124_595419_RT,1804124,595419,10011,/ RT
1804148_601794_BS,1804148,601794,01100,/ BS
1804401_523227_RT,1804401,523227,10111,/ RT
1804501_616123_BS,1804501,616123,01100,/ BS
1804522_600988_RT,1804522,600988,11101,/ RT
1804770_602365_RT,1804770,602365,10101,/ RT
1805004_522863_RT,1805004,522863,10111,/ RT
1805464_591691_RT,1805464,591691,10011,/ RT
1805630_573275_RT,1805630,573275,11000,/ RT
1805694_601311_RT,1805694,601311,11101,/ RT
1805830_563609_RT,1805830,563609,00111,/ RT
1806065_610444_BS,1806065,610444,01100,/ BS
1806429_531686_BS,1806429,531686,01100,/ BS
1806621_573322_RT,1806621,573322,11111,/ RT
1806642_520312_RT,1806642,520312,11100,/ RT
1806990_564377_RT,1806990,564377,10111,/ RT
1807010_565752_RT,1807010,565752,01111,/ RT
1807214_564638_RT,1807214,564638,10111,/ RT
1807275_565175_RT,1807275,565175,10111,/ RT
1807357_518181_RT,1807357,518181,10101,/ RT
1807505_569465_RT,1807505,569465,11111,/ RT
1807658_568499_RT,1807658,568499,01111,/ RT
1808205_520323_RT,1808205,520323,00110,/ RT
1808328_562188_RT,1808328,562188,10000,/ RT
1808878_561548_RT,1808878,561548,10111,/ RT
1809191_568365_BS,1809191,568365,01110,/ BS
1809245_538618_BS,1809245,538618,01100,/ BS
1809252_530490_RT,1809252,530490,11111,/ RT
1809282_521208_RT,1809282,521208,00110,/ RT
1809306_560535_RT,1809306,560535,10111,/ RT
1809609_591845_RT,1809609,591845,11111,/ RT
