#Detector,X,Y,Usage,Trap_Type
699065_1368712_BS,699065,1368712,0110,/ BS
699170_1310753_RT,699170,1310753,0011,/ RT
699308_1357362_BS,699308,1357362,0010,/ BS
700681_1304142_BS,700681,1304142,1100,/ BS
701315_1328505_BS,701315,1328505,0110,/ BS
701554_1310326_BS,701554,1310326,0111,/ BS
702265_1360663_BS,702265,1360663,1000,/ BS
703807_1374823_BS,703807,1374823,0001,/ BS
703919_1361751_BS,703919,1361751,0001,/ BS
704208_1357308_BS,704208,1357308,0001,/ BS
704230_1368630_BS,704230,1368630,0110,/ BS
704550_1349240_BS,704550,1349240,0010,/ BS
704807_1343759_BS,704807,1343759,0100,/ BS
704949_1365040_BS,704949,1365040,0011,/ BS
705596_1331276_BS,705596,1331276,0001,/ BS
706563_1335213_BS,706563,1335213,1000,/ BS
707390_1326463_BS,707390,1326463,0011,/ BS
707560_1304843_BS,707560,1304843,0110,/ BS
707995_1360724_BS,707995,1360724,1100,/ BS
708322_1296574_BS,708322,1296574,1111,/ BS
708945_1343106_BS,708945,1343106,0001,/ BS
709681_1290581_BS,709681,1290581,1111,/ BS
709779_1372469_BS,709779,1372469,1000,/ BS
709917_1301726_BS,709917,1301726,0001,/ BS
710808_1366173_BS,710808,1366173,1000,/ BS
711418_1295948_BS,711418,1295948,0010,/ BS
711519_1322660_BS,711519,1322660,1000,/ BS
711891_1346605_BS,711891,1346605,1000,/ BS
712496_1305243_BS,712496,1305243,1000,/ BS
712820_1369924_BS,712820,1369924,0010,/ BS
712896_1317025_BS,712896,1317025,0011,/ BS
714766_1336429_BS,714766,1336429,0001,/ BS
714802_1367689_BS,714802,1367689,1000,/ BS
714844_1373443_BS,714844,1373443,1000,/ BS
715055_1365444_BS,715055,1365444,0100,/ BS
715468_1377137_BS,715468,1377137,0111,/ BS
715655_1354102_BS,715655,1354102,0001,/ BS
716229_1315451_BS,716229,1315451,1111,/ BS
716293_1308575_BS,716293,1308575,0111,/ BS
716988_1361111_BS,716988,1361111,1110,/ BS
718046_1334355_BS,718046,1334355,0110,/ BS
718141_1351252_BS,718141,1351252,1111,/ BS
718715_1340233_BS,718715,1340233,0100,/ BS
718908_1346614_BS,718908,1346614,1000,/ BS
719740_1324355_BS,719740,1324355,0100,/ BS
721195_1355138_BS,721195,1355138,1111,/ BS
722372_1311035_BS,722372,1311035,1000,/ BS
722815_1354251_BS,722815,1354251,1110,/ BS
723542_1340072_BS,723542,1340072,0011,/ BS
725004_1353650_BS,725004,1353650,0010,/ BS
726806_1327710_BS,726806,1327710,1111,/ BS
727594_1349109_BS,727594,1349109,1100,/ BS
728404_1338849_BS,728404,1338849,0011,/ BS
729782_1354280_BS,729782,1354280,1000,/ BS
730069_1315949_BS,730069,1315949,1110,/ BS
730292_1344788_BS,730292,1344788,1000,/ BS
731661_1342036_BS,731661,1342036,0001,/ BS
732769_1353244_BS,732769,1353244,0010,/ BS
735182_1310942_BS,735182,1310942,0001,/ BS
735474_1323744_BS,735474,1323744,1000,/ BS
735761_1335528_BS,735761,1335528,1111,/ BS
735842_1345868_BS,735842,1345868,1111,/ BS
736776_1357788_BS,736776,1357788,1100,/ BS
738478_1361384_BS,738478,1361384,0011,/ BS
741246_1350286_BS,741246,1350286,1000,/ BS
741604_1351863_BS,741604,1351863,0001,/ BS
741614_1358798_BS,741614,1358798,1100,/ BS
741725_1333026_BS,741725,1333026,1111,/ BS
743333_1348381_BS,743333,1348381,0100,/ BS
744619_1358457_BS,744619,1358457,0010,/ BS
744711_1337871_BS,744711,1337871,0100,/ BS
745019_1344783_BS,745019,1344783,1000,/ BS
746476_1329662_BS,746476,1329662,1100,/ BS
746947_1343137_BS,746947,1343137,1000,/ BS
746988_1342132_BS,746988,1342132,0001,/ BS
747485_1350811_BS,747485,1350811,1100,/ BS
748530_1348907_BS,748530,1348907,0001,/ BS
748679_1337783_BS,748679,1337783,0010,/ BS
748750_1355123_BS,748750,1355123,1000,/ BS
750418_1349744_BS,750418,1349744,0010,/ BS
