#Detector,X,Y,Usage,Trap_Type
640974_1377904_RT,640974,1377904,1111,/ RT
641033_1377975_BS,641033,1377975,1111,/ BS
643159_1354309_BS,643159,1354309,1111,/ BS
644006_1385556_BS,644006,1385556,1100,/ BS
644400_1345099_BS,644400,1345099,1111,/ BS
647441_1375860_RT,647441,1375860,1111,/ RT
647441_1375903_RT,647441,1375903,0111,/ RT
649087_1382122_BS,649087,1382122,1110,/ BS
649161_1371381_BS,649161,1371381,1100,/ BS
652310_1381188_RT,652310,1381188,1111,/ RT
652392_1381198_RT,652392,1381198,0111,/ RT
652617_1348087_RT,652617,1348087,0111,/ RT
654305_1382023_RT,654305,1382023,0111,/ RT
654447_1368249_RT,654447,1368249,1111,/ RT
654815_1393976_BS,654815,1393976,1100,/ BS
654952_1348428_BS,654952,1348428,1110,/ BS
655007_1382655_RT,655007,1382655,1111,/ RT
656336_1396293_BS,656336,1396293,1110,/ BS
656418_1359465_RT,656418,1359465,0111,/ RT
656700_1360323_BS,656700,1360323,1100,/ BS
657033_1342961_BS,657033,1342961,0001,/ BS
657400_1350836_RT,657400,1350836,1111,/ RT
657834_1350385_RT,657834,1350385,1111,/ RT
658163_1351952_RT,658163,1351952,0111,/ RT
658228_1350393_RT,658228,1350393,1111,/ RT
659798_1383373_RT,659798,1383373,1111,/ RT
660183_1350767_RT,660183,1350767,1111,/ RT
663166_1347717_BS,663166,1347717,1111,/ BS
663910_1351404_BS,663910,1351404,1111,/ BS
663972_1392578_BS,663972,1392578,1110,/ BS
664131_1380364_RT,664131,1380364,1111,/ RT
664345_1367144_BS,664345,1367144,1111,/ BS
665180_1379634_RT,665180,1379634,1111,/ RT
665257_1379625_RT,665257,1379625,1111,/ RT
670800_1373470_RT,670800,1373470,1111,/ RT
671245_1367301_BS,671245,1367301,0011,/ BS
672863_1343299_BS,672863,1343299,1110,/ BS
673663_1363551_BS,673663,1363551,1110,/ BS
673811_1351202_BS,673811,1351202,1110,/ BS
674482_1373014_RT,674482,1373014,1111,/ RT
676536_1359943_BS,676536,1359943,1100,/ BS
677413_1375055_BS,677413,1375055,1111,/ BS
678722_1352580_BS,678722,1352580,1111,/ BS
684910_1352230_BS,684910,1352230,1100,/ BS
688681_1353281_BS,688681,1353281,1110,/ BS
693624_1311580_RT,693624,1311580,0110,/ RT
693700_1311375_RT,693700,1311375,0110,/ RT
694165_1354619_BS,694165,1354619,0111,/ BS
694339_1311294_RT,694339,1311294,0111,/ RT
698030_1311314_RT,698030,1311314,0111,/ RT
702256_1360270_BS,702256,1360270,1111,/ BS
704874_1371490_BS,704874,1371490,1100,/ BS
709119_1372146_BS,709119,1372146,0011,/ BS
709628_1340471_BS,709628,1340471,1111,/ BS
711580_1366330_BS,711580,1366330,1111,/ BS
716571_1332697_BS,716571,1332697,0111,/ BS
716927_1349317_BS,716927,1349317,1110,/ BS
718642_1351602_BS,718642,1351602,1110,/ BS
718718_1340242_BS,718718,1340242,0011,/ BS
720342_1356164_BS,720342,1356164,1110,/ BS
723983_1355717_BS,723983,1355717,0001,/ BS
726860_1327728_BS,726860,1327728,0110,/ BS
727602_1348849_BS,727602,1348849,1100,/ BS
731367_1353859_BS,731367,1353859,0011,/ BS
735707_1357230_BS,735707,1357230,1110,/ BS
735739_1346069_BS,735739,1346069,1100,/ BS
736528_1326286_BS,736528,1326286,0111,/ BS
742142_1358964_BS,742142,1358964,0111,/ BS
745274_1336651_BS,745274,1336651,1110,/ BS
747242_1347491_BS,747242,1347491,1111,/ BS
747747_1350895_BS,747747,1350895,1111,/ BS
