#Detector,X,Y,Usage,Trap_Type
1214298_630530_HT,1214298,630530,11,/ HT
1223644_621230_HT,1223644,621230,11,/ HT
1225324_618008_HT,1225324,618008,11,/ HT
1225762_638019_HT,1225762,638019,11,/ HT
1235996_638800_HT,1235996,638800,11,/ HT
1236095_638738_RT,1236095,638738,11,/ RT
1236396_638329_RT,1236396,638329,01,/ RT
1236409_627990_HT,1236409,627990,11,/ HT
1236695_637730_RT,1236695,637730,11,/ RT
1236981_622938_HT,1236981,622938,11,/ HT
1237033_637428_RT,1237033,637428,01,/ RT
1238910_637156_HT,1238910,637156,11,/ HT
1254045_642074_HT,1254045,642074,11,/ HT
1254306_642125_RT,1254306,642125,01,/ RT
1255611_610935_HT,1255611,610935,11,/ HT
1259789_614766_HT,1259789,614766,11,/ HT
1263102_606914_HT,1263102,606914,11,/ HT
1263567_597469_HT,1263567,597469,11,/ HT
1265030_595226_HT,1265030,595226,11,/ HT
1265065_625291_HT,1265065,625291,11,/ HT
1266257_592733_RT,1266257,592733,11,/ RT
1267833_606147_HT,1267833,606147,11,/ HT
1273044_609971_HT,1273044,609971,11,/ HT
1281622_617260_HT,1281622,617260,11,/ HT
1286226_611645_HT,1286226,611645,11,/ HT
1286865_612779_RT,1286865,612779,11,/ RT
