#Detector,X,Y,Usage,Trap_Type
1214660_625697_HT,1214660,625697,011010,/ HT
1214907_629114_RT,1214907,629114,011010,/ RT
1217664_618305_RT,1217664,618305,000010,/ RT
1221797_618501_HT,1221797,618501,001110,/ HT
1221864_618420_RT,1221864,618420,001110,/ RT
1221993_621972_HT,1221993,621972,001110,/ HT
1223178_621506_RT,1223178,621506,001110,/ RT
1225310_638605_HT,1225310,638605,011101,/ HT
1225571_640749_RT,1225571,640749,011111,/ RT
1226807_636749_RT,1226807,636749,011111,/ RT
1231810_641886_RT,1231810,641886,010000,/ RT
1232357_641630_RT,1232357,641630,000100,/ RT
1234956_639965_RT,1234956,639965,011000,/ RT
1235814_639062_RT,1235814,639062,000110,/ RT
1236095_638738_RT,1236095,638738,011110,/ RT
1236333_638385_RT,1236333,638385,001000,/ RT
1236336_638406_RT,1236336,638406,000100,/ RT
1236399_638303_RT,1236399,638303,010000,/ RT
1236709_637736_RT,1236709,637736,010000,/ RT
1237003_622532_HT,1237003,622532,101000,/ HT
1237003_622532_RT,1237003,622532,011000,/ RT
1237033_637428_RT,1237033,637428,001000,/ RT
1237220_634866_HT,1237220,634866,011011,/ HT
1237321_637250_RT,1237321,637250,011000,/ RT
1239129_637007_HT,1239129,637007,011111,/ HT
1243754_631790_HT,1243754,631790,010101,/ HT
1244285_630123_RT,1244285,630123,010100,/ RT
1254561_602895_HT,1254561,602895,100000,/ HT
1255611_610935_HT,1255611,610935,011000,/ HT
1258556_638309_RT,1258556,638309,000001,/ RT
1258792_604169_HT,1258792,604169,101100,/ HT
1258820_604182_RT,1258820,604182,011110,/ RT
1259497_639378_HT,1259497,639378,000101,/ HT
1261179_614855_HT,1261179,614855,011000,/ HT
1263567_597469_HT,1263567,597469,011110,/ HT
1265028_595181_RT,1265028,595181,011110,/ RT
1265305_595009_HT,1265305,595009,011110,/ HT
1265826_622383_HT,1265826,622383,011100,/ HT
1266004_593647_RT,1266004,593647,011110,/ RT
1267833_606147_HT,1267833,606147,011110,/ HT
1273044_609971_HT,1273044,609971,011100,/ HT
1273421_611417_RT,1273421,611417,011100,/ RT
1281271_616829_HT,1281271,616829,011110,/ HT
1284724_619460_HT,1284724,619460,011100,/ HT
1286865_612779_RT,1286865,612779,011100,/ RT
1286978_613078_HT,1286978,613078,011100,/ HT
