#Detector,X,Y,Usage,Trap_Type
1214605_625728_RT,1214605,625728,011110,/ RT
1214660_625697_HT,1214660,625697,011101,/ HT
1214907_629114_RT,1214907,629114,011101,/ RT
1216548_621716_HT,1216548,621716,001100,/ HT
1220877_618488_RT,1220877,618488,001000,/ RT
1221595_618686_HT,1221595,618686,001111,/ HT
1221864_618420_RT,1221864,618420,001111,/ RT
1225310_638605_HT,1225310,638605,011101,/ HT
1225571_640749_RT,1225571,640749,011101,/ RT
1226606_636845_HT,1226606,636845,011101,/ HT
1226807_636749_RT,1226807,636749,011101,/ RT
1228142_630836_HT,1228142,630836,001100,/ HT
1232357_641630_RT,1232357,641630,010000,/ RT
1234956_639965_RT,1234956,639965,001101,/ RT
1235996_638800_HT,1235996,638800,011101,/ HT
1236095_638738_RT,1236095,638738,011101,/ RT
1236399_638303_RT,1236399,638303,011101,/ RT
1236709_637736_RT,1236709,637736,001000,/ RT
1237003_622532_HT,1237003,622532,110100,/ HT
1237003_622532_RT,1237003,622532,110000,/ RT
1237220_634866_HT,1237220,634866,011101,/ HT
1237321_637250_RT,1237321,637250,000001,/ RT
1238178_637533_HT,1238178,637533,001100,/ HT
1245173_637509_HT,1245173,637509,001100,/ HT
1253322_644164_HT,1253322,644164,001100,/ HT
1258480_638234_RT,1258480,638234,001000,/ RT
1258556_638309_RT,1258556,638309,000100,/ RT
1258792_604169_HT,1258792,604169,111000,/ HT
1258820_604182_RT,1258820,604182,111000,/ RT
1259217_614728_HT,1259217,614728,000110,/ HT
1259497_639378_HT,1259497,639378,001101,/ HT
1259574_639409_RT,1259574,639409,000001,/ RT
1260464_610340_HT,1260464,610340,000110,/ HT
1262645_616954_HT,1262645,616954,001100,/ HT
1263102_606914_HT,1263102,606914,111000,/ HT
1263567_597469_HT,1263567,597469,001110,/ HT
1265826_622383_HT,1265826,622383,001110,/ HT
1265868_594058_HT,1265868,594058,001110,/ HT
1266004_593647_RT,1266004,593647,001110,/ RT
1267798_606152_RT,1267798,606152,001110,/ RT
1267833_606147_HT,1267833,606147,001110,/ HT
1268471_632551_HT,1268471,632551,001100,/ HT
1272370_601587_HT,1272370,601587,001110,/ HT
1273044_609971_HT,1273044,609971,001110,/ HT
1273293_610988_RT,1273293,610988,001110,/ RT
1274799_642799_HT,1274799,642799,001100,/ HT
1275571_604414_HT,1275571,604414,001100,/ HT
1277143_612477_RT,1277143,612477,001110,/ RT
1278157_610417_HT,1278157,610417,001110,/ HT
1280408_616190_HT,1280408,616190,001100,/ HT
1284531_619828_HT,1284531,619828,000110,/ HT
1286233_611618_HT,1286233,611618,010110,/ HT
1286865_612779_RT,1286865,612779,010110,/ RT
1287741_611670_RT,1287741,611670,010000,/ RT
1291627_619366_RT,1291627,619366,010110,/ RT
