BATCH_NO,CID_NO,MASTER_ID,ERROR_FLAG,SPECIES_CODE,KILL_CODE,LIMITED_ENTRY_FLAG,KILL_DATE,SEX,MU_CODE,SUB_UNIT_CODE,REGION_CODE,SUB_REGION_CODE,ZONE_NO,GRID_EAST,GRID_NORTH,KILL_LOCATION,HUNTER_LICENCE_TYPE,SKULL_LENGTH,SKULL_WIDTH,SKULL_TYPE,HORN_ANNULI_CODE,HORN_ANNULI_AGE,TOOTH_CODE,TOOTH_AGE,WEARSTAIN_CODE,WEARSTAIN_AGE,OTHER_CODE,OTHER_AGE,EXTRACT_FLAG,CHECK_DATE,PARK_KILL_FLAG,CHECK_LOCATION,GUIDE_FORM_NO,PARK_NAME
197507,700026,30564,W,BEAG,1,2,19750920,U,900,0,9,-,0,0,0,,NRH,,,0,,,0,,,,0,,,19000000,,0,,
197507,700001,30539,W,BEAG,1,2,19750920,M,719,0,7,B,0,0,0,KAKWA RIVER,NRH,344,209,3,,,2,2,,,,,1,19000000,,0,,
197507,700004,30542,W,BEAG,1,2,19750920,F,736,0,7,B,0,0,0,GRAHAM RIVER,NRH,319,186,3,,,2,6,,,,,1,19000000,,0,,
197507,700095,30633,W,BEAG,1,2,19750921,F,609,0,6,-,0,0,0,THOMAS CREEK,RH,343,191,3,,,2,10,,,,,1,19000000,,0,,
197507,700020,30558,W,BEAG,1,2,19750921,M,606,0,6,-,0,0,0,2 MI W OF PIERRE CK,RH,317,165,3,,,2,3,,,,,1,19000000,,0,,
197507,700057,30595,,BEAG,1,2,19750922,M,407,0,4,A,11,527,5437,W CRESTON CORN CK RD,RH,381,178,3,,,2,3,,,,,1,,,0,,
197507,700096,30634,W,BEAG,1,2,19750924,M,619,0,6,-,0,0,0,GOAT CREEK,NRH,279,152,3,,,2,2,,,,,1,19000000,,0,,
197507,700009,30547,W,BEAG,1,2,19750924,M,742,0,7,B,0,0,0,MUSKWA RIVER,NRH,,,0,,,2,2,,,,,1,19000000,,0,,
197507,700017,30555,W,BEAG,1,2,19750924,M,739,0,7,A,0,0,0,KITCHENER LAKE,NRH,343,190,3,,,2,3,,,,,1,19000000,,0,,
197507,700018,30556,W,BEAG,1,2,19750924,U,900,0,9,-,0,0,0,,NRH,,,0,,,0,,,,0,,,19000000,,0,,
197507,700097,30635,W,BEAG,1,2,19750925,F,739,0,7,A,0,0,0,TATLATUI LAKE,NRH,318,191,3,,,,,,,,,,19000000,,0,,
197507,700014,30552,W,BEAG,1,2,19750925,U,722,0,7,B,0,0,0,SUKUNKA RIVER,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700005,30543,W,BEAG,1,2,19750925,M,754,0,7,B,0,0,0,8 MILE CREEK,NRH,,,0,,,,,,,,,,19000000,,0,,
197507,700011,30549,W,BEAG,1,2,19750926,M,731,0,7,B,0,0,0,PINE PASS,RH,384,222,3,,,2,16,,,,,1,19000000,,0,,
197507,700019,30557,W,BEAG,1,2,19750926,F,739,0,7,A,0,0,0,KITCHENER LAKE,NRH,317,203,3,,,2,8,,,,,1,19000000,,0,,
197507,700069,30607,W,BEAG,1,2,19750927,F,630,0,6,-,0,0,0,CRANBERRY RIVER,RH,330,190,3,,,,,,,,,,19000000,,0,,
197507,700053,30591,W,BEAG,1,2,19750927,M,507,0,5,-,0,0,0,WASH WASH RIVER,NRH,,,0,,,,,,,,,,19000000,,0,,
197507,700010,30548,W,BEAG,1,2,19750927,M,742,0,7,B,0,0,0,LOWER BESA RIVER,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700052,30590,W,BEAG,1,2,19750928,F,507,0,5,-,0,0,0,SHEEMAHANT RIVER,NRH,,,0,,,,,,,,,,19000000,,0,,
197507,700045,30583,W,BEAG,1,2,19750929,M,507,0,5,-,0,0,0,,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700054,30592,W,BEAG,1,2,19750929,M,507,0,5,-,0,0,0,SHEEMAHANT RIVER,NRH,,,0,,,,,,,,,,19000000,,0,,
197507,700087,30625,W,BEAG,1,2,19750930,M,625,0,6,-,0,0,0,DISCOVERY LAKE,RH,325,175,3,,,2,4,,,,,1,19000000,,0,,
197507,700046,30584,W,BEAG,1,2,19750930,F,753,0,7,B,0,0,0,SCATTER RIVER,NRH,327,190,3,,,,,,,,,,19000000,,0,,
197507,700051,30589,W,BEAG,1,2,19750930,M,507,0,5,-,0,0,0,CHUCKWALLA,RH,362,184,3,,,2,7,,,,,1,19000000,,0,,
197507,700056,30594,W,BEAG,1,2,19750930,F,508,0,5,-,0,0,0,KWATNA RIVER,NRH,336,171,3,,,2,4,,,,,1,19000000,,0,,
197507,700030,30568,W,BEAG,1,2,19750930,F,718,0,7,A,0,0,0,MCGREGOR RIVER,NRH,311,197,3,,,2,20,,,,,1,19000000,,0,,
197507,700079,30617,W,BEAG,1,2,19751001,F,602,0,6,-,0,0,0,CHEDAKUZ ARM,RH,279,127,3,,,,,,,,,,19000000,,0,,
197507,700075,30613,W,BEAG,1,2,19751001,M,604,0,6,-,0,0,0,CABIN LAKE,RH,273,152,3,,,,,,,,,,19000000,,0,,
197507,700073,30611,W,BEAG,1,2,19751001,M,712,0,7,A,0,0,0,10 MI S BOREL LK,RH,289,152,3,,,,,,,,,,19000000,,0,,
197507,700041,30579,W,BEAG,1,2,19751002,M,614,0,6,-,0,0,0,KHUTZEYMATEEN RIVER,NRH,319,197,3,,,2,3,,,,,1,19000000,,0,,
197507,700036,30574,W,BEAG,1,2,19751002,F,507,0,5,-,0,0,0,KILBELLA RIVER,NRH,305,162,3,,,2,5,,,,,1,19000000,,0,,
197507,700037,30575,W,BEAG,1,2,19751002,F,609,0,6,-,0,0,0,FOXY CREEK,RH,330,203,3,,,2,8,,,,,1,19000000,,0,,
197507,700038,30576,W,BEAG,1,2,19751002,M,726,0,7,A,0,0,0,KAZCHEK LAKE,RH,,,0,,,2,17,,,,,1,19000000,,0,,
197507,700039,30577,W,BEAG,1,2,19751002,M,742,0,7,B,0,0,0,BULL CREEK,NRH,376,216,3,,,2,17,,,,,1,19000000,,0,,
197507,700040,30578,W,BEAG,1,2,19751002,M,614,0,6,-,0,0,0,KHUTZEYMATEEN RIVER,NRH,356,179,3,,,2,3,,,,,1,19000000,,0,,
197507,700021,30559,W,BEAG,1,2,19751002,M,721,0,7,B,0,0,0,TEEPEE CREEK,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700065,30603,W,BEAG,1,2,19751003,M,743,0,7,B,0,0,0,HALFWAY RIVER,NRH,290,165,3,,,,,,,,,,19000000,,0,,
197507,700083,30621,W,BEAG,1,2,19751004,F,316,0,3,-,10,582,5600,TEXAS CREEK,RH,,,0,,,,,,,,,,,,0,,
197507,700092,30630,W,BEAG,1,2,19751005,M,609,0,6,-,0,0,0,MORICE RIVER,RH,,,0,,,,,,,,,,19000000,,0,,
