model,logL,K,AIC,dAIC,weight,CumWt
5,13224.106788835485,37,26522.21357767097,0,0.9999999998523061,0.9999999998523061
2,13247.940379257023,36,26567.880758514046,45.667180843076494,1.2119862082546316e-10,0.9999999999735047
3,13249.462391746427,36,26570.924783492854,48.711205821884505,2.6454286478127143e-11,0.999999999999959
8,13256.12271482346,36,26584.24542964692,62.031851975949394,3.3880865204757777e-14,0.9999999999999929
1,13257.69170273208,36,26587.38340546416,65.16982779319005,7.0558883711772975e-15,1
7,13262.73007058191,36,26597.46014116382,75.24656349285215,4.5752659780899984e-17,1
4,13286.080283479754,36,26644.16056695951,121.94698928853904,3.3078646700422185e-27,1
6,13288.427465813285,36,26648.85493162657,126.64135395560152,3.1635842017224226e-28,1
