model,logL,K,AIC,dAIC,weight,CumWt
6,13296.123814865978,55,26702.247629731955,0,1,1
5,13442.741176704454,54,26993.48235340891,291.23472367695285,5.7435880631138666e-64,1
3,13480.70451034874,33,27027.40902069748,325.16139096552433,2.4666134076485334e-71,1
4,13634.68299271817,52,27373.36598543634,671.1183557043842,1.8556698294775196e-146,1
2,13694.363125452544,32,27452.72625090509,750.4786211731334,1.0855204739459181e-163,1
1,13898.016590455072,30,27856.033180910144,1153.785551178189,2.8750864760151895e-251,1
