#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2018,SR_09089,4,1828909_545160_RT,F
Southern_Rockies_2018,SR_09195,1,1819617_522212_BS,M
Southern_Rockies_2018,SR_09195,4,1809855_522552_RT,M
Southern_Rockies_2018,SR_09547,3,1786379_633772_RT,F
Southern_Rockies_2018,SR_09792,2,1781382_610159_BS,F
Southern_Rockies_2018,SR_10209,2,1834565_513857_RT,M
Southern_Rockies_2018,SR_10209,3,1816810_511866_RT,M
Southern_Rockies_2018,SR_10420,1,1779028_640351_BS,F
Southern_Rockies_2018,SR_10667,3,1774876_646894_RT,F
Southern_Rockies_2018,SR_10738-a,4,1784711_571160_RT,F
Southern_Rockies_2018,SR_10744,5,1806532_581218_RT,F
Southern_Rockies_2018,SR_10744,5,1798485_584902_RT,F
Southern_Rockies_2018,SR_10794-b,1,1794931_579027_BS,F
Southern_Rockies_2018,SR_10794-b,2,1795407_584072_RT,F
Southern_Rockies_2018,SR_10794-b,3,1796909_576941_RT,F
Southern_Rockies_2018,SR_11027,1,1791430_646809_BS,F
Southern_Rockies_2018,SR_11052,1,1779028_640351_BS,F
Southern_Rockies_2018,SR_11423,1,1835879_530610_BS,F
Southern_Rockies_2018,SR_11423,2,1836202_527037_RT,F
Southern_Rockies_2018,SR_11423,2,1835879_530610_BS,F
Southern_Rockies_2018,SR_11423,4,1835435_526500_RT,F
Southern_Rockies_2018,SR_11423,5,1836202_527037_RT,F
Southern_Rockies_2018,SR_11478,3,1793690_620145_RT,F
Southern_Rockies_2018,SR_11478,4,1793690_620145_RT,F
Southern_Rockies_2018,SR_11478,5,1787049_610388_RT,F
Southern_Rockies_2018,SR_11513,1,1784711_571160_RT,M
Southern_Rockies_2018,SR_11883,3,1789019_627837_RT,F
Southern_Rockies_2018,SR_11883,4,1789019_627837_RT,F
Southern_Rockies_2018,SR_11883,5,1789019_627837_RT,F
Southern_Rockies_2018,SR_11968,2,1823545_549190_BS,F
Southern_Rockies_2018,SR_12482,1,1857237_523169_RT,F
Southern_Rockies_2018,SR_12496,3,1800439_536392_RT,F
Southern_Rockies_2018,SR_12578,5,1804770_602365_RT,F
Southern_Rockies_2018,SR_13253,3,1793948_561320_RT,M
Southern_Rockies_2018,SR_13253,5,1793504_561389_RT,M
Southern_Rockies_2018,SR_13376,1,1784462_645513_RT,M
Southern_Rockies_2018,SR_13376,2,1776758_651215_RT,M
Southern_Rockies_2018,SR_13376,2,1775125_664779_RT,M
Southern_Rockies_2018,SR_13376,5,1783023_647242_RT,M
Southern_Rockies_2018,SR_13546,1,1835879_530610_BS,F
Southern_Rockies_2018,SR_13546,4,1838338_528891_RT,F
Southern_Rockies_2018,SR_13557,4,1821603_532642_RT,F
Southern_Rockies_2018,SR_13580,1,1808205_520323_RT,M
Southern_Rockies_2018,SR_13580,1,1817478_525317_RT,M
Southern_Rockies_2018,SR_13580,2,1809290_538621_BS,M
Southern_Rockies_2018,SR_13580,5,1801014_525627_RT,M
Southern_Rockies_2018,SR_13589,1,1806429_531686_BS,F
Southern_Rockies_2018,SR_13647,2,1786071_564306_RT,F
Southern_Rockies_2018,SR_13647,3,1784039_564763_RT,F
Southern_Rockies_2018,SR_13647,3,1783910_564954_RT,F
Southern_Rockies_2018,SR_13647,3,1784127_563671_RT,F
Southern_Rockies_2018,SR_13647,3,1783663_565942_RT,F
Southern_Rockies_2018,SR_13647,5,1784039_564763_RT,F
Southern_Rockies_2018,SR_13647,5,1783828_565553_RT,F
Southern_Rockies_2018,SR_13647,5,1784392_563827_RT,F
Southern_Rockies_2018,SR_13655,4,1784039_564763_RT,F
Southern_Rockies_2018,SR_13696,1,1789940_594591_RT,F
Southern_Rockies_2018,SR_13702,1,1796957_629732_RT,M
Southern_Rockies_2018,SR_13724,2,1793046_632516_BS,F
Southern_Rockies_2018,SR_13724,4,1796780_629159_RT,F
Southern_Rockies_2018,SR_13724,5,1798055_632395_RT,F
Southern_Rockies_2018,SR_13736,3,1794557_600175_RT,M
Southern_Rockies_2018,SR_13736,5,1794557_600175_RT,M
Southern_Rockies_2018,SR_13979,2,1813838_513007_BS,F
Southern_Rockies_2018,SR_14395,3,1783023_647242_RT,M
Southern_Rockies_2018,SR_14636,3,1787282_622846_RT,F
Southern_Rockies_2018,SR_14637,3,1787049_610388_RT,M
Southern_Rockies_2018,SR_14637,3,1787209_610412_RT,M
Southern_Rockies_2018,SR_14637,4,1787049_610388_RT,M
Southern_Rockies_2018,SR_14637,5,1788196_610844_RT,M
Southern_Rockies_2018,SR_14765,4,1769333_675187_RT,M
Southern_Rockies_2018,SR_14765,5,1775545_645607_RT,M
Southern_Rockies_2018,SR_14776,2,1786471_599906_BS,F
Southern_Rockies_2018,SR_14795-30r,2,1788397_630450_RT,M
Southern_Rockies_2018,SR_14795-30r,3,1796957_629732_RT,M
Southern_Rockies_2018,SR_14795-30r,3,1801227_628737_RT,M
Southern_Rockies_2018,SR_148,0,1806532_581218_RT,M
Southern_Rockies_2018,SR_148,1,1804124_595419_RT,M
Southern_Rockies_2018,SR_148,2,1805830_563609_RT,M
Southern_Rockies_2018,SR_148,4,1796842_573398_RT,M
Southern_Rockies_2018,SR_14830,2,1796909_576941_RT,M
Southern_Rockies_2018,SR_14830,4,1791294_591554_RT,M
Southern_Rockies_2018,SR_14830,5,1796540_572483_RT,M
Southern_Rockies_2018,SR_14837-21f,4,1822629_521694_RT,F
Southern_Rockies_2018,SR_14837-21f,4,1822996_523965_RT,F
Southern_Rockies_2018,SR_14837-21f,5,1817199_525595_RT,F
Southern_Rockies_2018,SR_14838,2,1794931_579027_BS,F
Southern_Rockies_2018,SR_14882,2,1776197_655022_BS,F
Southern_Rockies_2018,SR_14948,3,1792455_604814_RT,F
Southern_Rockies_2018,SR_14948,4,1788196_610844_RT,F
Southern_Rockies_2018,SR_14948,5,1789733_603117_RT,F
Southern_Rockies_2018,SR_15007-15x,1,1848854_513480_BS,F
Southern_Rockies_2018,SR_15039-1v,2,1819617_522212_BS,F
Southern_Rockies_2018,SR_15039-1v,3,1822996_523965_RT,F
Southern_Rockies_2018,SR_15039-1v,5,1822629_521694_RT,F
Southern_Rockies_2018,SR_15055-6b,2,1822629_521694_RT,M
Southern_Rockies_2018,SR_15055-6b,5,1804401_523227_RT,M
Southern_Rockies_2018,SR_15055-6b,5,1803794_523733_RT,M
Southern_Rockies_2018,SR_15055-6b,5,1806501_521694_RT,M
Southern_Rockies_2018,SR_15124-9x,1,1834563_521192_BS,M
Southern_Rockies_2018,SR_15124-9x,2,1824613_524427_RT,M
Southern_Rockies_2018,SR_15124-9x,5,1825322_531609_RT,M
Southern_Rockies_2018,SR_15124-9x,5,1827429_531576_RT,M
Southern_Rockies_2018,SR_15174-11x,2,1819617_522212_BS,F
Southern_Rockies_2018,SR_15175-4x,2,1835879_530610_BS,F
Southern_Rockies_2018,SR_15175-4x,2,1834563_521192_BS,F
Southern_Rockies_2018,SR_15175-4x,5,1835435_526500_RT,F
Southern_Rockies_2018,SR_15178-8x,3,1828739_546779_RT,F
Southern_Rockies_2018,SR_15178-8x,4,1828739_546779_RT,F
Southern_Rockies_2018,SR_15214-8a,5,1812487_538588_RT,M
Southern_Rockies_2018,SR_15216-8s,1,1813838_513007_BS,F
Southern_Rockies_2018,SR_15249-18x,2,1822996_523965_RT,F
Southern_Rockies_2018,SR_15249-18x,4,1818378_523175_RT,F
Southern_Rockies_2018,SR_15249-18x,4,1817478_525317_RT,F
Southern_Rockies_2018,SR_15259-23s,2,1819697_532191_BS,F
Southern_Rockies_2018,SR_15259-23s,5,1818289_549913_RT,F
Southern_Rockies_2018,SR_15260-3a,4,1809252_530490_RT,F
Southern_Rockies_2018,SR_15315,3,1778002_650315_RT,F
Southern_Rockies_2018,SR_15315,4,1777387_650599_RT,F
Southern_Rockies_2018,SR_15510-5v,5,1825999_519799_RT,F
Southern_Rockies_2018,SR_16457,1,1802218_555212_BS,F
Southern_Rockies_2018,SR_16457,5,1793368_561228_RT,F
Southern_Rockies_2018,SR_16647,2,1787941_622442_RT,M
Southern_Rockies_2018,SR_16647,2,1799949_623550_RT,M
Southern_Rockies_2018,SR_16657,4,1774663_672676_RT,M
Southern_Rockies_2018,SR_16759,2,1809798_591190_RT,F
Southern_Rockies_2018,SR_17012,1,1816709_567863_RT,M
Southern_Rockies_2018,SR_17105,2,1784462_645513_RT,F
Southern_Rockies_2018,SR_17105,5,1778957_644667_RT,F
Southern_Rockies_2018,SR_17105,5,1781168_648898_RT,F
Southern_Rockies_2018,SR_17133,1,1781124_628555_BS,M
Southern_Rockies_2018,SR_17133,2,1790189_602996_RT,M
Southern_Rockies_2018,SR_17133,5,1785202_623427_RT,M
Southern_Rockies_2018,SR_17145,2,1781124_628555_BS,F
Southern_Rockies_2018,SR_17376,1,1776197_655022_BS,F
Southern_Rockies_2018,SR_17376,2,1776197_655022_BS,F
Southern_Rockies_2018,SR_17413,2,1789360_595777_RT,M
Southern_Rockies_2018,SR_17413,2,1787282_622846_RT,M
Southern_Rockies_2018,SR_17413,2,1788670_603406_RT,M
Southern_Rockies_2018,SR_17545,2,1821603_532642_RT,F
Southern_Rockies_2018,SR_17545,2,1819697_532191_BS,F
Southern_Rockies_2018,SR_17545,3,1821603_532642_RT,F
Southern_Rockies_2018,SR_17577,3,1825322_531609_RT,F
Southern_Rockies_2018,SR_17577,5,1824749_531776_RT,F
Southern_Rockies_2018,SR_17577,5,1824116_531953_RT,F
Southern_Rockies_2018,SR_17626,2,1803318_596805_RT,F
Southern_Rockies_2018,SR_17665,2,1796780_629159_RT,F
Southern_Rockies_2018,SR_17665,2,1801227_628737_RT,F
Southern_Rockies_2018,SR_17665,2,1802095_629783_BS,F
Southern_Rockies_2018,SR_17665,3,1796780_629159_RT,F
Southern_Rockies_2018,SR_17665,4,1798055_632395_RT,F
Southern_Rockies_2018,SR_17665,4,1797918_631259_RT,F
Southern_Rockies_2018,SR_17684,2,1802095_629783_BS,F
Southern_Rockies_2018,SR_18071,2,1785029_589919_RT,F
Southern_Rockies_2018,SR_18184,5,1807010_565752_RT,M
Southern_Rockies_2018,SR_18184,5,1787374_563349_RT,M
Southern_Rockies_2018,SR_18681,5,1778115_664353_RT,F
Southern_Rockies_2018,SR_18797,1,1809252_530490_RT,M
Southern_Rockies_2018,SR_18797,1,1806429_531686_BS,M
Southern_Rockies_2018,SR_18797,4,1801014_525627_RT,M
Southern_Rockies_2018,SR_18817,1,1845788_527596_RT,M
Southern_Rockies_2018,SR_18844,1,1848706_514987_RT,M
Southern_Rockies_2018,SR_18844,2,1835466_514964_RT,M
Southern_Rockies_2018,SR_18844,2,1833918_514891_RT,M
Southern_Rockies_2018,SR_18844,2,1831216_513800_RT,M
Southern_Rockies_2018,SR_18844,5,1834153_520765_RT,M
