#Session,ID,Occassion,Detector,Sex
Stein_Nahat_2011,SN_F108,6,1258556_638309_RT,F
Stein_Nahat_2011,SN_F113,2,1243754_631790_HT,F
Stein_Nahat_2011,SN_F117,5,1237220_634866_HT,F
Stein_Nahat_2011,SN_F132,2,1237220_634866_HT,F
Stein_Nahat_2011,SN_F132,3,1234956_639965_RT,F
Stein_Nahat_2011,SN_F134,4,1239129_637007_HT,F
Stein_Nahat_2011,SN_F134,6,1239129_637007_HT,F
Stein_Nahat_2011,SN_F134,6,1237220_634866_HT,F
Stein_Nahat_2011,SN_F139,3,1221993_621972_HT,F
Stein_Nahat_2011,SN_F139,5,1221797_618501_HT,F
Stein_Nahat_2011,SN_F139,5,1221864_618420_RT,F
Stein_Nahat_2011,SN_F244,2,1225571_640749_RT,F
Stein_Nahat_2011,SN_F319,5,1267833_606147_HT,F
Stein_Nahat_2011,SN_F321,3,1284724_619460_HT,F
Stein_Nahat_2011,SN_F323,3,1221797_618501_HT,F
Stein_Nahat_2011,SN_F323,4,1221993_621972_HT,F
Stein_Nahat_2011,SN_F323,5,1221864_618420_RT,F
Stein_Nahat_2011,SN_F380,2,1243754_631790_HT,F
Stein_Nahat_2011,SN_F381,3,1284724_619460_HT,F
Stein_Nahat_2011,SN_F382,3,1221993_621972_HT,F
Stein_Nahat_2011,SN_F382,4,1221993_621972_HT,F
Stein_Nahat_2011,SN_F382,4,1221797_618501_HT,F
Stein_Nahat_2011,SN_F382,5,1221797_618501_HT,F
Stein_Nahat_2011,SN_F384,4,1236336_638406_RT,F
Stein_Nahat_2011,SN_F385,5,1237220_634866_HT,F
Stein_Nahat_2011,SN_F386,4,1225310_638605_HT,F
Stein_Nahat_2011,SN_F386,6,1225310_638605_HT,F
Stein_Nahat_2011,SN_F386,6,1237220_634866_HT,F
Stein_Nahat_2011,SN_F388,6,1225310_638605_HT,F
Stein_Nahat_2011,SN_F389,4,1239129_637007_HT,F
Stein_Nahat_2011,SN_F389,5,1237220_634866_HT,F
Stein_Nahat_2011,SN_F389,6,1239129_637007_HT,F
Stein_Nahat_2011,SN_F60,4,1281271_616829_HT,F
Stein_Nahat_2011,SN_F60,4,1273421_611417_RT,F
Stein_Nahat_2011,SN_F73,3,1284724_619460_HT,F
Stein_Nahat_2011,SN_M104,2,1234956_639965_RT,M
Stein_Nahat_2011,SN_M104,2,1231810_641886_RT,M
Stein_Nahat_2011,SN_M104,6,1259497_639378_HT,M
Stein_Nahat_2011,SN_M105,2,1236095_638738_RT,M
Stein_Nahat_2011,SN_M105,2,1236709_637736_RT,M
Stein_Nahat_2011,SN_M105,2,1237321_637250_RT,M
Stein_Nahat_2011,SN_M105,2,1236399_638303_RT,M
Stein_Nahat_2011,SN_M105,3,1236333_638385_RT,M
Stein_Nahat_2011,SN_M105,3,1237033_637428_RT,M
Stein_Nahat_2011,SN_M105,3,1237321_637250_RT,M
Stein_Nahat_2011,SN_M105,4,1235814_639062_RT,M
Stein_Nahat_2011,SN_M105,5,1214660_625697_HT,M
Stein_Nahat_2011,SN_M105,6,1226807_636749_RT,M
Stein_Nahat_2011,SN_M122,2,1244285_630123_RT,M
Stein_Nahat_2011,SN_M122,2,1225571_640749_RT,M
Stein_Nahat_2011,SN_M122,4,1232357_641630_RT,M
Stein_Nahat_2011,SN_M122,5,1225571_640749_RT,M
Stein_Nahat_2011,SN_M123,4,1221993_621972_HT,M
Stein_Nahat_2011,SN_M123,5,1221993_621972_HT,M
Stein_Nahat_2011,SN_M123,5,1221797_618501_HT,M
Stein_Nahat_2011,SN_M123,5,1217664_618305_RT,M
Stein_Nahat_2011,SN_M123,5,1221864_618420_RT,M
Stein_Nahat_2011,SN_M123,5,1223178_621506_RT,M
Stein_Nahat_2011,SN_M125,6,1259497_639378_HT,M
Stein_Nahat_2011,SN_M125,6,1258556_638309_RT,M
Stein_Nahat_2011,SN_M128,1,1237003_622532_HT,M
Stein_Nahat_2011,SN_M128,2,1243754_631790_HT,M
Stein_Nahat_2011,SN_M128,4,1259497_639378_HT,M
Stein_Nahat_2011,SN_M128,4,1236336_638406_RT,M
Stein_Nahat_2011,SN_M128,6,1243754_631790_HT,M
Stein_Nahat_2011,SN_M128,6,1258556_638309_RT,M
Stein_Nahat_2011,SN_M133,4,1225571_640749_RT,M
Stein_Nahat_2011,SN_M133,5,1214907_629114_RT,M
Stein_Nahat_2011,SN_M239,1,1258792_604169_HT,M
Stein_Nahat_2011,SN_M239,3,1266004_593647_RT,M
Stein_Nahat_2011,SN_M239,5,1265028_595181_RT,M
Stein_Nahat_2011,SN_M324,3,1237220_634866_HT,M
Stein_Nahat_2011,SN_M324,4,1239129_637007_HT,M
Stein_Nahat_2011,SN_M379,2,1243754_631790_HT,M
Stein_Nahat_2011,SN_M383,4,1239129_637007_HT,M
Stein_Nahat_2011,SN_M383,6,1239129_637007_HT,M
Stein_Nahat_2011,SN_M387,6,1239129_637007_HT,M
Stein_Nahat_2011,SN_M65,4,1286865_612779_RT,M
Stein_Nahat_2011,SN_M69,1,1258792_604169_HT,M
Stein_Nahat_2011,SN_M72,2,1286978_613078_HT,M
Stein_Nahat_2011,SN_M72,3,1267833_606147_HT,M
Stein_Nahat_2011,SN_M72,3,1263567_597469_HT,M
Stein_Nahat_2011,SN_M72,3,1273421_611417_RT,M
