#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_14948,4,1790189_602996_RT,F
Southern_Rockies_2017,SR_14948,4,1789733_603117_RT,F
Southern_Rockies_2017,SR_14948,5,1788148_603580_RT,F
Southern_Rockies_2017,SR_14948,5,1792267_605059_RT,F
Southern_Rockies_2017,SR_14948,5,1790674_607926_RT,F
Southern_Rockies_2017,SR_14963,1,1806990_564377_RT,M
Southern_Rockies_2017,SR_14963,1,1803399_582522_RT,M
Southern_Rockies_2017,SR_14963,1,1793948_561320_RT,M
Southern_Rockies_2017,SR_14963,2,1805830_563609_RT,M
Southern_Rockies_2017,SR_14963,2,1807010_565752_RT,M
Southern_Rockies_2017,SR_14963,5,1806621_573322_RT,M
Southern_Rockies_2017,SR_14963,5,1807658_568499_RT,M
Southern_Rockies_2017,SR_14963,5,1807010_565752_RT,M
Southern_Rockies_2017,SR_15055-6b,1,1801014_525627_RT,M
Southern_Rockies_2017,SR_15055-6b,2,1809282_521208_RT,M
Southern_Rockies_2017,SR_15055-6b,5,1801014_525627_RT,M
Southern_Rockies_2017,SR_15055-6b,5,1820453_534717_RT,M
Southern_Rockies_2017,SR_15120-9t,3,1816719_567016_RT,F
Southern_Rockies_2017,SR_15124-9x,1,1827429_531576_RT,M
Southern_Rockies_2017,SR_15124-9x,2,1825322_531609_RT,M
Southern_Rockies_2017,SR_15124-9x,2,1824116_531953_RT,M
Southern_Rockies_2017,SR_15124-9x,3,1825322_531609_RT,M
Southern_Rockies_2017,SR_15124-9x,5,1825322_531609_RT,M
Southern_Rockies_2017,SR_15174-11x,2,1808205_520323_RT,F
Southern_Rockies_2017,SR_15174-11x,3,1808205_520323_RT,F
Southern_Rockies_2017,SR_15214-8a,1,1820453_534717_RT,M
Southern_Rockies_2017,SR_15259-23s,5,1820453_534717_RT,F
Southern_Rockies_2017,SR_15315,4,1778002_650315_RT,F
Southern_Rockies_2017,SR_16033,5,1784409_653689_RT,F
Southern_Rockies_2017,SR_16323,4,1783828_565553_RT,F
Southern_Rockies_2017,SR_16327,1,1856962_521236_RT,M
Southern_Rockies_2017,SR_16484,1,1774876_646894_RT,M
Southern_Rockies_2017,SR_16484,1,1775348_645866_RT,M
Southern_Rockies_2017,SR_16574,3,1835650_534524_RT,F
Southern_Rockies_2017,SR_16647,1,1803371_621692_RT,M
Southern_Rockies_2017,SR_16647,1,1797918_631259_RT,M
Southern_Rockies_2017,SR_17105,0,1778878_644671_RT,F
Southern_Rockies_2017,SR_17105,1,1784462_645513_RT,F
Southern_Rockies_2017,SR_17105,3,1784462_645513_RT,F
Southern_Rockies_2017,SR_17105,4,1782010_644159_RT,F
Southern_Rockies_2017,SR_17105,4,1778957_644667_RT,F
Southern_Rockies_2017,SR_17105,5,1778957_644667_RT,F
Southern_Rockies_2017,SR_17105,5,1778878_644671_RT,F
Southern_Rockies_2017,SR_17278,2,1840033_524759_RT,M
Southern_Rockies_2017,SR_17278,5,1838338_528891_RT,M
Southern_Rockies_2017,SR_17347,2,1799420_634016_RT,F
Southern_Rockies_2017,SR_17376,2,1776758_651215_RT,F
Southern_Rockies_2017,SR_17376,2,1777387_650599_RT,F
Southern_Rockies_2017,SR_17376,2,1778002_650315_RT,F
Southern_Rockies_2017,SR_17376,3,1776758_651215_RT,F
Southern_Rockies_2017,SR_17376,4,1776758_651215_RT,F
Southern_Rockies_2017,SR_17376,4,1777387_650599_RT,F
Southern_Rockies_2017,SR_17376,5,1777387_650599_RT,F
Southern_Rockies_2017,SR_17376,5,1778002_650315_RT,F
Southern_Rockies_2017,SR_17413,3,1783396_624382_RT,M
Southern_Rockies_2017,SR_17532,2,1817478_525317_RT,M
Southern_Rockies_2017,SR_17545,3,1822067_532461_RT,F
Southern_Rockies_2017,SR_17545,3,1821603_532642_RT,F
Southern_Rockies_2017,SR_17545,5,1822067_532461_RT,F
