#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2006,SR_10281,3,1801386_628876_BS,F
Southern_Rockies_2006,SR_105,2,1755828_641835_BS,F
Southern_Rockies_2006,SR_105,3,1751102_635725_BS,F
Southern_Rockies_2006,SR_11027,1,1786071_659514_BS,F
Southern_Rockies_2006,SR_125,3,1738251_632387_BS,F
Southern_Rockies_2006,SR_127,3,1761917_613829_BS,F
Southern_Rockies_2006,SR_138,2,1751102_635725_BS,F
Southern_Rockies_2006,SR_138,2,1765853_621159_BS,F
Southern_Rockies_2006,SR_138,3,1748918_636757_BS,F
Southern_Rockies_2006,SR_138,3,1751102_635725_BS,F
Southern_Rockies_2006,SR_139,3,1757382_567976_BS,M
Southern_Rockies_2006,SR_148,3,1812432_587115_BS,M
Southern_Rockies_2006,SR_14916,2,1801386_628876_BS,F
Southern_Rockies_2006,SR_154,3,1742811_658832_BS,M
Southern_Rockies_2006,SR_154,3,1742758_661929_BS,M
Southern_Rockies_2006,SR_174388-g,1,1807442_608618_BS,F
Southern_Rockies_2006,SR_177,3,1758841_620142_BS,F
Southern_Rockies_2006,SR_180,3,1758841_620142_BS,M
Southern_Rockies_2006,SR_225,3,1742811_658832_BS,F
Southern_Rockies_2006,SR_260,3,1766874_570104_BS,M
Southern_Rockies_2006,SR_275,3,1766860_599150_BS,F
Southern_Rockies_2006,SR_2901,3,1758841_620142_BS,M
Southern_Rockies_2006,SR_2901,3,1761917_613829_BS,M
Southern_Rockies_2006,SR_2913,2,1753920_588120_BS,M
Southern_Rockies_2006,SR_2913,2,1761035_585839_BS,M
Southern_Rockies_2006,SR_2913,3,1753920_588120_BS,M
Southern_Rockies_2006,SR_2925,2,1753920_588120_BS,M
Southern_Rockies_2006,SR_2925,3,1750294_602216_BS,M
Southern_Rockies_2006,SR_2940,2,1753920_588120_BS,F
Southern_Rockies_2006,SR_2951,2,1757382_567976_BS,F
Southern_Rockies_2006,SR_2951,3,1757382_567976_BS,F
Southern_Rockies_2006,SR_2958,2,1747832_617084_BS,F
Southern_Rockies_2006,SR_2958,3,1747832_617084_BS,F
Southern_Rockies_2006,SR_2983,2,1776269_555975_BS,F
Southern_Rockies_2006,SR_2989,2,1780136_554624_BS,M
Southern_Rockies_2006,SR_2997,2,1786131_584565_BS,M
Southern_Rockies_2006,SR_2999,2,1786131_584565_BS,F
Southern_Rockies_2006,SR_3021,2,1750294_602216_BS,M
Southern_Rockies_2006,SR_3024,2,1750294_602216_BS,F
Southern_Rockies_2006,SR_3028,2,1751102_635725_BS,M
Southern_Rockies_2006,SR_3028,3,1765853_621159_BS,M
Southern_Rockies_2006,SR_3035,2,1751102_635725_BS,F
Southern_Rockies_2006,SR_3040,1,1765854_621158_RT,M
Southern_Rockies_2006,SR_3040,2,1748918_636757_BS,M
Southern_Rockies_2006,SR_3040,2,1755828_641835_BS,M
Southern_Rockies_2006,SR_3066,2,1776669_629749_BS,F
Southern_Rockies_2006,SR_3116,2,1754741_653396_BS,F
Southern_Rockies_2006,SR_3122,2,1755958_658239_BS,F
Southern_Rockies_2006,SR_3123,2,1765772_653583_BS,F
Southern_Rockies_2006,SR_3124,2,1765772_653583_BS,F
Southern_Rockies_2006,SR_3141,2,1768118_563345_BS,M
Southern_Rockies_2006,SR_3142,2,1768118_563345_BS,M
Southern_Rockies_2006,SR_3144,2,1786678_573235_BS,M
Southern_Rockies_2006,SR_3150,2,1774182_592213_BS,M
Southern_Rockies_2006,SR_3157,2,1812432_587115_BS,M
Southern_Rockies_2006,SR_3165,2,1780136_554624_BS,M
