#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2007,SR_0667,1,1812349_587174_RT,M
Southern_Rockies_2007,SR_0728,1,1742752_625408_RT,M
Southern_Rockies_2007,SR_0728,1,1743321_624773_RT,M
Southern_Rockies_2007,SR_0987,2,1795850_641881_BS,F
Southern_Rockies_2007,SR_0999,2,1785366_623226_BS,M
Southern_Rockies_2007,SR_0999,2,1781801_634056_BS,M
Southern_Rockies_2007,SR_1021,2,1781801_634056_BS,F
Southern_Rockies_2007,SR_105,2,1755828_641835_BS,F
Southern_Rockies_2007,SR_105,2,1762152_638005_BS,F
Southern_Rockies_2007,SR_105,3,1755828_641835_BS,F
Southern_Rockies_2007,SR_105,3,1762152_638005_BS,F
Southern_Rockies_2007,SR_139,2,1748613_578024_BS,M
Southern_Rockies_2007,SR_154,2,1747816_649125_BS,M
Southern_Rockies_2007,SR_225,2,1740120_662532_BS,F
Southern_Rockies_2007,SR_260,2,1768703_600875_BS,M
Southern_Rockies_2007,SR_2913,2,1760781_586138_BS,M
Southern_Rockies_2007,SR_2925,1,1758841_620142_BS,M
Southern_Rockies_2007,SR_2940,2,1760781_586138_BS,F
Southern_Rockies_2007,SR_2951,2,1757382_567976_BS,F
Southern_Rockies_2007,SR_2989,3,1778586_555735_BS,M
Southern_Rockies_2007,SR_3021,2,1753920_588120_BS,M
Southern_Rockies_2007,SR_3021,2,1742591_625609_BS,M
Southern_Rockies_2007,SR_3024,2,1750294_602216_BS,F
Southern_Rockies_2007,SR_3024,2,1753920_588120_BS,F
Southern_Rockies_2007,SR_3040,1,1773640_612361_RT,M
Southern_Rockies_2007,SR_3040,2,1762152_638005_BS,M
Southern_Rockies_2007,SR_3040,3,1777271_619484_BS,M
Southern_Rockies_2007,SR_3116,2,1757558_649007_BS,F
Southern_Rockies_2007,SR_3122,2,1762718_651214_BS,F
Southern_Rockies_2007,SR_3122,3,1755958_658239_BS,F
Southern_Rockies_2007,SR_3208,2,1751102_635725_BS,F
Southern_Rockies_2007,SR_3212,2,1761917_613829_BS,F
Southern_Rockies_2007,SR_3224,1,1744263_623914_RT,M
Southern_Rockies_2007,SR_3224,2,1750294_602216_BS,M
Southern_Rockies_2007,SR_3224,2,1742752_625408_RT,M
Southern_Rockies_2007,SR_3224,2,1744263_623914_RT,M
Southern_Rockies_2007,SR_3226,2,1750294_602216_BS,M
Southern_Rockies_2007,SR_3232,2,1758841_620142_BS,M
Southern_Rockies_2007,SR_3232,2,1765955_619948_BS,M
Southern_Rockies_2007,SR_3237,2,1758841_620142_BS,M
Southern_Rockies_2007,SR_3266,2,1766491_570365_BS,M
Southern_Rockies_2007,SR_332,3,1777513_623087_BS,M
Southern_Rockies_2007,SR_3328,2,1768118_563345_BS,M
Southern_Rockies_2007,SR_3329,2,1768118_563345_BS,M
Southern_Rockies_2007,SR_3333,2,1775843_554896_BS,M
Southern_Rockies_2007,SR_3373,3,1762718_651214_BS,F
Southern_Rockies_2007,SR_3383,3,1768703_600875_BS,F
Southern_Rockies_2007,SR_3389,4,1780531_531725_RT,F
Southern_Rockies_2007,SR_3389,4,1780537_531587_RT,F
Southern_Rockies_2007,SR_3417,3,1751102_635725_BS,F
Southern_Rockies_2007,SR_345,2,1758841_620142_BS,F
Southern_Rockies_2007,SR_3461,3,1762718_651214_BS,F
Southern_Rockies_2007,SR_3471,3,1752044_659931_BS,M
Southern_Rockies_2007,SR_3498,2,1747816_649125_BS,F
Southern_Rockies_2007,SR_3513,2,1762718_651214_BS,M
Southern_Rockies_2007,SR_3522,2,1777271_619484_BS,F
Southern_Rockies_2007,SR_3537,3,1762718_651214_BS,F
Southern_Rockies_2007,SR_3555,2,1760781_586138_BS,M
Southern_Rockies_2007,SR_3561,2,1739827_638165_BS,F
Southern_Rockies_2007,SR_3578,3,1777045_602212_BS,M
Southern_Rockies_2007,SR_3615,2,1740120_662532_BS,M
Southern_Rockies_2007,SR_364,3,1765401_648911_BS,F
Southern_Rockies_2007,SR_3642,2,1739827_638165_BS,F
Southern_Rockies_2007,SR_3666,2,1775528_655080_BS,F
Southern_Rockies_2007,SR_3679,2,1764011_666367_BS,M
Southern_Rockies_2007,SR_3684,2,1764011_666367_BS,F
Southern_Rockies_2007,SR_3689,2,1764011_666367_BS,F
Southern_Rockies_2007,SR_3691,2,1768387_668330_BS,F
Southern_Rockies_2007,SR_3714,2,1769866_622272_BS,F
Southern_Rockies_2007,SR_3714,3,1769866_622272_BS,F
Southern_Rockies_2007,SR_3714,3,1777513_623087_BS,F
Southern_Rockies_2007,SR_3727,3,1804951_607957_BS,M
Southern_Rockies_2007,SR_374,2,1752044_659931_BS,M
Southern_Rockies_2007,SR_3777,3,1770781_678415_BS,F
Southern_Rockies_2007,SR_3778,3,1770781_678415_BS,M
Southern_Rockies_2007,SR_3779,3,1770781_678415_BS,F
Southern_Rockies_2007,SR_3780,3,1770781_678415_BS,F
Southern_Rockies_2007,SR_3781,2,1770781_678415_BS,F
Southern_Rockies_2007,SR_3796,2,1787253_652608_BS,F
Southern_Rockies_2007,SR_3805,3,1781801_634056_BS,M
Southern_Rockies_2007,SR_3808,3,1786089_628880_BS,M
Southern_Rockies_2007,SR_3813,3,1785568_609382_BS,M
Southern_Rockies_2007,SR_3819,3,1806077_598460_BS,M
Southern_Rockies_2007,SR_3820,3,1802553_629169_BS,F
Southern_Rockies_2007,SR_3825,3,1785568_609382_BS,F
Southern_Rockies_2007,SR_384,2,1752044_659931_BS,M
Southern_Rockies_2007,SR_3890,3,1806077_598460_BS,M
Southern_Rockies_2007,SR_3893,3,1782967_658180_BS,F
Southern_Rockies_2007,SR_3984,2,1770781_678415_BS,M
Southern_Rockies_2007,SR_3992,2,1742591_625609_BS,F
Southern_Rockies_2007,SR_4001,2,1764011_666367_BS,F
Southern_Rockies_2007,SR_4014,2,1742591_625609_BS,F
Southern_Rockies_2007,SR_4016,2,1742591_625609_BS,F
Southern_Rockies_2007,SR_4036,2,1775528_655080_BS,F
Southern_Rockies_2007,SR_4064,2,1765401_648911_BS,F
Southern_Rockies_2007,SR_4065,2,1765401_648911_BS,M
Southern_Rockies_2007,SR_4097,2,1768387_668330_BS,F
Southern_Rockies_2007,SR_4099,2,1740120_662532_BS,M
Southern_Rockies_2007,SR_4152,2,1804000_618452_BS,F
Southern_Rockies_2007,SR_4169,2,1748316_597126_BS,F
Southern_Rockies_2007,SR_4203,2,1757382_567976_BS,F
Southern_Rockies_2007,SR_4220,2,1762152_638005_BS,F
Southern_Rockies_2007,SR_4242,2,1765955_619948_BS,F
Southern_Rockies_2007,SR_4285,2,1765955_619948_BS,F
Southern_Rockies_2007,SR_4292,2,1765955_619948_BS,F
Southern_Rockies_2007,SR_4292,3,1771700_612110_RT,F
Southern_Rockies_2007,SR_4372,3,1760781_586138_BS,F
Southern_Rockies_2007,SR_4374,3,1760781_586138_BS,F
Southern_Rockies_2007,SR_4432,2,1761441_572571_BS,F
Southern_Rockies_2007,SR_4432,3,1757382_567976_BS,F
Southern_Rockies_2007,SR_4489,3,1775843_554896_BS,F
Southern_Rockies_2007,SR_4492,3,1769578_610653_BS,M
Southern_Rockies_2007,SR_4500,3,1778586_555735_BS,F
Southern_Rockies_2007,SR_4520,3,1778190_562007_BS,F
Southern_Rockies_2007,SR_4528,3,1748613_578024_BS,F
Southern_Rockies_2007,SR_4532,3,1757382_567976_BS,M
Southern_Rockies_2007,SR_481,3,1778190_562007_BS,F
Southern_Rockies_2007,SR_538,3,1782967_658180_BS,M
Southern_Rockies_2007,SR_644,3,1809183_593079_BS,M
