#Session,ID,Occassion,Detector,Sex
Region_2004,R_F11,1,1139999_599274_BS,F
Region_2004,R_F11,2,1139999_599274_BS,F
Region_2004,R_F11,2,1136620_594118_BS,F
Region_2004,R_F12,1,1188212_606642_BS,F
Region_2004,R_F13,1,1188212_606642_BS,F
Region_2004,R_F15,1,1188212_606642_BS,F
Region_2004,R_F15,2,1188212_606642_BS,F
Region_2004,R_F17,1,1219097_593355_BS,F
Region_2004,R_F18,1,1142248_581150_BS,F
Region_2004,R_F19,1,1148425_584337_BS,F
Region_2004,R_F2,1,1125167_633250_BS,F
Region_2004,R_F21,1,1173385_571815_BS,F
Region_2004,R_F21,3,1161004_589215_BS,F
Region_2004,R_F22,1,1198374_578839_BS,F
Region_2004,R_F22,2,1198374_578839_BS,F
Region_2004,R_F22,4,1198374_578839_BS,F
Region_2004,R_F24,1,1178093_549288_BS,F
Region_2004,R_F24,2,1163962_532593_BS,F
Region_2004,R_F25,1,1178093_549288_BS,F
Region_2004,R_F28,2,1145586_621566_BS,F
Region_2004,R_F29,2,1155211_620450_BS,F
Region_2004,R_F31,1,1142579_614371_BS,F
Region_2004,R_F31,2,1142579_614371_BS,F
Region_2004,R_F34,2,1142248_581150_BS,F
Region_2004,R_F36,2,1198374_578839_BS,F
Region_2004,R_F36,3,1198374_578839_BS,F
Region_2004,R_F36,4,1199134_564740_BS,F
Region_2004,R_F37,2,1163962_532593_BS,F
Region_2004,R_F37,4,1180150_541631_BS,F
Region_2004,R_F38,3,1124898_624392_BS,F
Region_2004,R_F4,1,1134886_630527_BS,F
Region_2004,R_F44,3,1147673_589855_BS,F
Region_2004,R_F47,4,1144328_630453_BS,F
Region_2004,R_F48,4,1144328_630453_BS,F
Region_2004,R_F53,4,1173385_571815_BS,F
Region_2004,R_F55,4,1163487_567259_BS,F
Region_2004,R_M1,1,1127184_638678_BS,M
Region_2004,R_M10,1,1116256_598133_BS,M
Region_2004,R_M10,2,1127382_612012_BS,M
Region_2004,R_M10,3,1112940_599628_BS,M
Region_2004,R_M14,1,1188212_606642_BS,M
Region_2004,R_M14,2,1188212_606642_BS,M
Region_2004,R_M14,4,1188212_606642_BS,M
Region_2004,R_M16,1,1136620_594118_BS,M
Region_2004,R_M16,1,1139921_571402_BS,M
Region_2004,R_M16,3,1138426_560572_BS,M
Region_2004,R_M20,1,1168612_571856_BS,M
Region_2004,R_M20,2,1168612_571856_BS,M
Region_2004,R_M20,2,1173806_559175_BS,M
Region_2004,R_M20,3,1168612_571856_BS,M
Region_2004,R_M20,3,1173806_559175_BS,M
Region_2004,R_M20,4,1178093_549288_BS,M
Region_2004,R_M23,1,1198374_578839_BS,M
Region_2004,R_M23,2,1198374_578839_BS,M
Region_2004,R_M26,2,1129179_620977_BS,M
Region_2004,R_M27,2,1137373_620327_BS,M
Region_2004,R_M3,1,1124898_624392_BS,M
Region_2004,R_M30,2,1155211_620450_BS,M
Region_2004,R_M30,3,1155211_620450_BS,M
Region_2004,R_M32,2,1205348_608279_BS,M
Region_2004,R_M32,3,1188212_606642_BS,M
Region_2004,R_M32,3,1205348_608279_BS,M
Region_2004,R_M33,2,1205348_608279_BS,M
Region_2004,R_M33,3,1205348_608279_BS,M
Region_2004,R_M33,4,1205348_608279_BS,M
Region_2004,R_M35,2,1154817_585281_BS,M
Region_2004,R_M35,4,1154817_585281_BS,M
Region_2004,R_M39,3,1124898_624392_BS,M
Region_2004,R_M39,4,1124898_624392_BS,M
Region_2004,R_M40,3,1134886_630527_BS,M
Region_2004,R_M40,4,1134886_630527_BS,M
Region_2004,R_M41,3,1145586_621566_BS,M
Region_2004,R_M42,3,1116586_611082_BS,M
Region_2004,R_M42,4,1110404_611514_BS,M
Region_2004,R_M42,4,1116586_611082_BS,M
Region_2004,R_M43,3,1133945_604101_BS,M
Region_2004,R_M43,3,1160916_604198_BS,M
Region_2004,R_M45,3,1198374_578839_BS,M
Region_2004,R_M46,3,1174953_533487_BS,M
Region_2004,R_M46,3,1177948_530909_BS,M
Region_2004,R_M49,4,1129179_620977_BS,M
Region_2004,R_M5,1,1116009_621292_BS,M
Region_2004,R_M50,4,1137373_620327_BS,M
Region_2004,R_M51,4,1139999_599274_BS,M
Region_2004,R_M52,4,1142248_581150_BS,M
Region_2004,R_M54,4,1173385_571815_BS,M
Region_2004,R_M56,4,1187370_535447_BS,M
Region_2004,R_M6,1,1129179_620977_BS,M
Region_2004,R_M7,1,1142579_614371_BS,M
Region_2004,R_M7,2,1142579_614371_BS,M
Region_2004,R_M7,3,1148807_609696_BS,M
Region_2004,R_M8,1,1148807_609696_BS,M
Region_2004,R_M8,1,1156862_607408_BS,M
Region_2004,R_M8,1,1160916_604198_BS,M
Region_2004,R_M8,2,1173806_559175_BS,M
Region_2004,R_M8,3,1171565_593679_BS,M
Region_2004,R_M9,1,1156862_607408_BS,M
