ID,Trap ID per site,Sampling Project,Use in Popn Analysis,Sessions,Site,Easting,Northing,Sess 1,Sess 2,Sess 3,Sess 4,Sess 5
84,Reg-2004-84,Region-2004,yes,4,84,458940,5515494,,,M46,,
85,Reg-2004-85,Region-2004,yes,4,85,461822,5512793,,,M46,,
86,Reg-2004-86,Region-2004,yes,4,86,471420,5516931,,,,M56,
87,Reg-2004-87,Region-2004,yes,4,87,481454,5510379,,,,,
88,Reg-2004-88,Region-2004,yes,4,88,467944,5502391,,,,,
89,Reg-2004-89,Region-2004,yes,4,89,479206,5504819,,,,,
90,Reg-2004-90,Region-2004,yes,4,90,484020,5507161,,,,,
91,Reg-2005-1,Region-2005,yes,5,1,553475.73,5610184.21,,,,,
92,Reg-2005-2,Region-2005,yes,5,2,560556.69,5611723.68,,,,,
93,Reg-2005-3,Region-2005,yes,5,3,546330.18,5599483.23,,M70,,,M70
94,Reg-2005-4,Region-2005,yes,5,4,553426.62,5603894.99,,,,,
95,Reg-2005-5,Region-2005,yes,5,5,567329.5,5601441.42,,,,,
96,Reg-2005-6,Region-2005,yes,5,6,574858.38,5607254.2,,,,,
97,Reg-2005-7,Region-2005,yes,5,7,538138.89,5591377.69,,,,,
98,Reg-2005-8,Region-2005,yes,5,8,544922.97,5595692.01,,M70,,M70,
99,Reg-2005-9,Region-2005,yes,5,9,552747.38,5594669.24,,,M70,,
100,Reg-2005-10,Region-2005,yes,5,10,566008.19,5587781.14,,,"F68,M72","F60,F68",F68
101,Reg-2005-11,Region-2005,yes,5,11,574894.81,5591925.68,,,,,
102,Reg-2005-12,Region-2005,yes,5,12,584287.35,5595298.42,,,,,
103,Reg-2005-13,Region-2005,yes,5,13,525011.23,5585809.69,,,,,
104,Reg-2005-14,Region-2005,yes,5,14,535249.22,5585041.55,,,,,
105,Reg-2005-15,Region-2005,yes,5,15,545610.92,5586790.72,,,,,
106,Reg-2005-16,Region-2005,yes,5,16,553362.73,5582785.98,"F64,M70","F64,M79",,"M69,M70",
107,Reg-2005-17,Region-2005,yes,5,17,564039.3,5581562.67,M72,F59,M79,M72,
108,Reg-2005-18,Region-2005,yes,5,18,572928.52,5588020.52,M65,,,,"M63,F73"
109,Reg-2005-19,Region-2005,yes,5,19,580812.35,5584839.7,,,,,
110,Reg-2005-20,Region-2005,yes,5,20,525462.47,5578397.03,,,,,
111,Reg-2005-21,Region-2005,yes,5,21,535175.9,5573615.67,,,,,
112,Reg-2005-22,Region-2005,yes,5,22,546114.05,5571963,,,,,
113,Reg-2005-23,Region-2005,yes,5,23,552151.1,5571915.14,,M72,F64,M72,M72
114,Reg-2005-24,Region-2005,yes,5,24,562055.24,5575617.37,M62,,M72,,"F61,F64"
115,Reg-2005-25,Region-2005,yes,5,25,573307.14,5571690.88,,,,,
116,Reg-2005-26,Region-2005,yes,5,26,579761.06,5578204.67,,F61,,F61,
117,Reg-2005-27,Region-2005,yes,5,27,591404.44,5574615.18,,,,,
118,Reg-2005-28,Region-2005,yes,5,28,537457,5567363,,,,,
119,Reg-2005-29,Region-2005,yes,5,29,545348,5566145,,,,,
120,Reg-2005-30,Region-2005,yes,5,30,553659,5566450,,,,,
121,Reg-2005-31,Region-2005,yes,5,31,562845,5567827,,F61,,,
