Perm ID,Sex,Pop,Year,Samples,DNA#,East,North,# loci,A,B,C,D,H,J,L,M,P,U,X,20,110,50,59
326,F,WNE,1997,"3441b,3441c,3441d,3441e,617f,3442b,3442d,3442f,3442g,3442i,3442r,3747g",,498000,5723600,15,194.194,158.164,205.211,182.182,231.231,186.190,155.159,206.210,151.151,163.163,141.141,127.127,149.157,138.138,223.223
326,F,WNE,1996,"617f,3442b,3442d,3442f,3442g,3442i,3442r,3747g",,502700,5720600,,,,,,,,,,,,,,,,
326,F,WNE,1997,"3442b,3442d,3442f,3442g,3442i,3442r,3747g",,502800,5723900,,,,,,,,,,,,,,,,
326,F,WNE,1997,3747g,,496100,5727300,,,,,,,,,,,,,,,,
325,F,WNE,1996,"839e,839f,839f",839,474100,5721400,13,194.198,154.164,201.205,182.182,231.231,186.194,155.155,206.210,151.155,163.163,141.141,,145.155,,223.251
322,M,WNE,1996,"821k,821n,821o,490a,490l,490u",490,503200,5723200,15,194.194,158.162,201.205,181.182,231.255,194.194,155.157,210.210,151.153,159.163,141.141,127.127,149.155,120.138,223.223
322,M,WNE,1996,"490a,490l,490u",,505200,5720400,,,,,,,,,,,,,,,,
320,M,WNE,1996,"3731b,630ag,630aj,630e,630g,630h,630n,630o,630p,630t,630x,630z,3731p,3732b",630,526100,5688100,15,190.194,154.160,201.205,182.182,255.255,186.190,155.169,196.212,151.153,163.163,141.141,127.127,153.155,130.138,239.243
320,M,WNE,1997,"630ag,630aj,630e,630g,630h,630n,630o,630p,630t,630x,630z,3731p,3732b",,525400,5696900,,,,,,,,,,,,,,,,
320,M,WNE,1997,"3731p,3732b",,523400,5697800,,,,,,,,,,,,,,,,
320,M,WNE,1997,3732b,,526000,5696100,,,,,,,,,,,,,,,,
318,M,WNE,1996,629q,629,521300,5706800,14,184.194,154.162,205.211,182.185,231.252,190.194,157.157,210.214,151.153,163.163,135.141,,149.153,138.138,223.239
317,M,WNE,1996,"629i,629l,629m",629,521300,5706800,15,184.184,158.162,201.205,181.182,252.252,190.196,157.169,210.210,153.157,163.163,135.141,127.129,149.149,120.138,223.243
316,F,WNE,1996,"621a,621d,621e",621,516200,5721000,15,194.198,154.162,205.205,186.186,253.255,192.194,155.157,210.210,151.153,163.165,131.141,127.127,149.155,138.138,223.223
314,M,WNE,1996,"704d,740b,740c",740,465700,5681200,15,184.194,156.162,201.205,179.184,251.255,192.194,157.157,210.210,151.161,159.163,131.135,127.129,153.155,130.138,223.243
314,M,WNE,1996,"740b,740c",,521500,5696800,,,,,,,,,,,,,,,,
311,F,WNE,1996,"507a,636a,636b,636j,636k,636l,636n,653b",636,505200,5709400,15,192.194,152.156,201.205,181.186,231.231,186.190,157.169,206.206,151.153,163.163,135.141,127.127,149.151,120.132,223.239
311,F,WNE,1996,"636a,636b,636j,636k,636l,636n,653b",,495200,5706800,,,,,,,,,,,,,,,,
311,F,WNE,1996,653b,,498600,5708500,,,,,,,,,,,,,,,,
310,F,WNE,1996,"630ahb,630l,630m,630s,630u,3731k,3859a,3859b,3859c,3859d,3740b,3740c,3740d,3740e,3740h,3740k,3740l,3740m,3740o,3740p,3740r",3860,525400,5696900,15,194.194,154.162,205.211,181.184,231.251,186.186,157.169,210.214,151.151,159.163,131.135,127.129,153.153,138.138,223.239
310,F,WNE,1997,"630ahb,630l,630m,630s,630u,3731k,3859a,3859b,3859c,3859d,3740b,3740c,3740d,3740e,3740h,3740k,3740l,3740m,3740o,3740p,3740r",,523400,5697800,,,,,,,,,,,,,,,,
310,F,WNE,1997,"3740b,3740c,3740d,3740e,3740h,3740k,3740l,3740m,3740o,3740p,3740r",,526100,5688100,,,,,,,,,,,,,,,,
310,F,WNE,1997,"3860d,3860e",,526000,5696100,,,,,,,,,,,,,,,,
309,M,WNE,1996,"737ah,737ak,737al,737am,737d,737q,737u,737v,737x,737z,3794a,3794c,3852b,3852g",3794,511700,5701300,15,184.194,154.158,205.205,181.186,231.231,194.194,155.169,206.212,151.151,163.163,131.141,127.131,151.153,138.138,239.243
309,M,WNE,1997,"3794a,3794c,3852b,3852g",,516900,5697400,,,,,,,,,,,,,,,,
309,M,WNE,1997,"3852b,3852g",,507000,5704000,,,,,,,,,,,,,,,,
308,F,WNE,1996,"653a,653c,653d,653e,653f,653h,653h,653i,653k,653m,653n,653o,653s,507c,507d,507e,636c,636d,636e,636g,636h",636,498600,5708500,15,192.194,152.162,205.211,181.186,231.255,190.190,157.169,210.210,151.153,163.171,141.141,127.127,151.155,120.138,223.239
308,F,WNE,1996,"507c,507d,507e,636c,636d,636e,636g,636h",,505200,5709400,,,,,,,,,,,,,,,,
308,F,WNE,1996,"636c,636d,636e,636g,636h",,495200,5706800,,,,,,,,,,,,,,,,
